function,x_dim,c_dim,method,repeat,client,t,regret
levy,2,2,fd,3,-1,14,0.09123559189199958
levy,2,2,fd,3,-1,15,0.09093105980143062
levy,2,2,fd,3,-1,16,0.08688130668912933
levy,2,2,fd,3,-1,17,0.08722013296695179
levy,2,2,fd,3,-1,18,0.08794554180965339
levy,2,2,fd,3,-1,19,0.08916347420210063
levy,2,2,fd,3,-1,20,0.09165777574386211
levy,2,2,fd,3,-1,21,0.1138240848439797
levy,2,2,fd,3,-1,22,0.08909213479172541
levy,2,2,fd,3,-1,23,0.09136532764759943
levy,2,2,fd,3,-1,24,0.08817300334269959
levy,2,2,fd,3,-1,25,0.10188345277945526
levy,2,2,fd,3,-1,26,0.08378852912093272
levy,2,2,fd,3,-1,27,0.08338882167656504
levy,2,2,fd,3,-1,28,0.08415585960986027
levy,2,2,fd,3,-1,29,0.08477422585089243
levy,2,2,fd,3,-1,30,0.08540892653862757
levy,2,2,fd,3,-1,31,0.08450975539670828
levy,2,2,fd,3,-1,32,0.08144131233439984
levy,2,2,fd,3,-1,33,0.07949081648815311
levy,2,2,fd,3,-1,34,0.07421801324084644
levy,2,2,fd,3,-1,35,0.07140740741552526
levy,2,2,fd,3,-1,36,0.06957027391252406
levy,2,2,fd,3,-1,37,0.0688120728105555
levy,2,2,fd,3,-1,38,0.06594814896028771
levy,2,2,fd,3,-1,39,0.06804364474720695
levy,2,2,fd,3,-1,40,0.06802705025044414
levy,2,2,fd,3,-1,41,0.09610091830936512
levy,2,2,fd,3,-1,42,0.07257417463526224
levy,2,2,fd,3,-1,43,0.07028954848101734
levy,2,2,fd,3,-1,44,0.06935633422153938
levy,2,2,fd,3,-1,45,0.09152423170468242
levy,2,2,fd,3,-1,46,0.07078958425825861
levy,2,2,fd,3,-1,47,0.07093975087686775
levy,2,2,fd,3,-1,48,0.0724701645049661
levy,2,2,fd,3,-1,49,0.07479008554831884
levy,2,2,fd,3,-1,50,0.07366822745942345
levy,2,2,fd,3,-1,51,0.07231207963981863
levy,2,2,fd,3,-1,52,0.07357865889754898
levy,2,2,fd,3,-1,53,0.06722288330265591
levy,2,2,fd,3,-1,54,0.07296381965680106
levy,2,2,fd,3,-1,55,0.06498956326718826
levy,2,2,fd,3,-1,56,0.06673943258518376
levy,2,2,fd,3,-1,57,0.06566326111364172
levy,2,2,fd,3,-1,58,0.06671050644913532
levy,2,2,fd,3,-1,59,0.06705483274386484
levy,2,2,fd,3,-1,60,0.06881561685831218
levy,2,2,fd,3,-1,61,0.06335146927929898
levy,2,2,fd,3,-1,62,0.06756642959941563
levy,2,2,fd,3,-1,63,0.061172998725422124
levy,2,2,fd,3,-1,64,0.05949719222763203
levy,2,2,fd,3,-1,65,0.05860609017194042
levy,2,2,fd,3,-1,66,0.05960006421082711
levy,2,2,fd,3,-1,67,0.059439427704355424
levy,2,2,fd,3,-1,68,0.05928347544757072
levy,2,2,fd,3,-1,69,0.059188119497110614
levy,2,2,fd,3,-1,70,0.05913157698841116
levy,2,2,fd,3,-1,71,0.05809304998908965
levy,2,2,fd,3,-1,72,0.05898135800970802
levy,2,2,fd,3,-1,73,0.05881950321779376
levy,2,2,fd,3,-1,74,0.0580562745574406
levy,2,2,fd,3,-1,75,0.060103088775293516
levy,2,2,fd,3,-1,76,0.0616926054576757
levy,2,2,fd,3,-1,77,0.062458400447577125
levy,2,2,fd,3,-1,78,0.06188198849289673
levy,2,2,fd,3,-1,79,0.06164147498874864
levy,2,2,fd,4,-1,0,0.16235644369900554
levy,2,2,fd,4,-1,1,0.13605395347229446
levy,2,2,fd,4,-1,2,0.131935454093856
levy,2,2,fd,4,-1,3,0.13097165286833076
levy,2,2,fd,4,-1,4,0.12053711513099083
levy,2,2,fd,4,-1,5,0.11727278452660923
levy,2,2,fd,4,-1,6,0.1200332622547642
levy,2,2,fd,4,-1,7,0.11131222777580572
levy,2,2,fd,4,-1,8,0.10974282992100722
levy,2,2,fd,4,-1,9,0.10530332272684875
levy,2,2,fd,4,-1,10,0.10078066971158417
levy,2,2,fd,4,-1,11,0.09642398781623558
levy,2,2,fd,4,-1,12,0.09779183688178517
levy,2,2,fd,4,-1,13,0.10159109116435777
levy,2,2,fd,4,-1,14,0.09958057602710302
levy,2,2,fd,4,-1,15,0.0903278720573564
levy,2,2,fd,4,-1,16,0.08122116859072741
levy,2,2,fd,4,-1,17,0.11360890515803844
levy,2,2,fd,4,-1,18,0.08159158305455667
levy,2,2,fd,4,-1,19,0.08036857469945935
levy,2,2,fd,4,-1,20,0.11131559135022674
levy,2,2,fd,4,-1,21,0.0803951885915341
levy,2,2,fd,4,-1,22,0.07892781452665973
levy,2,2,fd,4,-1,23,0.07703284263562102
