function,x_dim,c_dim,method,repeat,client,t,regret
ackley,2,2,fd,2,-1,77,0.02083599925534137
ackley,2,2,fd,2,-1,78,0.013444893425657413
ackley,2,2,fd,2,-1,79,0.017192594050574182
ackley,2,2,fd,3,-1,0,0.05816242686286829
ackley,2,2,fd,3,-1,1,0.05198742958126356
ackley,2,2,fd,3,-1,2,0.04107917958890202
ackley,2,2,fd,3,-1,3,0.04544710857254721
ackley,2,2,fd,3,-1,4,0.053219584196508574
ackley,2,2,fd,3,-1,5,0.04116448658251114
ackley,2,2,fd,3,-1,6,0.04631317073653733
ackley,2,2,fd,3,-1,7,0.04194958869903952
ackley,2,2,fd,3,-1,8,0.04535468395046636
ackley,2,2,fd,3,-1,9,0.05108769235102863
ackley,2,2,fd,3,-1,10,0.04557408787178423
ackley,2,2,fd,3,-1,11,0.04697428127652176
ackley,2,2,fd,3,-1,12,0.04547081703822643
ackley,2,2,fd,3,-1,13,0.04705913423528099
ackley,2,2,fd,3,-1,14,0.04811702878583487
ackley,2,2,fd,3,-1,15,0.044830640436842185
ackley,2,2,fd,3,-1,16,0.04510703511441581
ackley,2,2,fd,3,-1,17,0.04302813693676381
ackley,2,2,fd,3,-1,18,0.042903709060327776
ackley,2,2,fd,3,-1,19,0.044749365723860096
ackley,2,2,fd,3,-1,20,0.04165380529921129
ackley,2,2,fd,3,-1,21,0.03859112844347049
ackley,2,2,fd,3,-1,22,0.038008097494088934
ackley,2,2,fd,3,-1,23,0.037409357494164575
ackley,2,2,fd,3,-1,24,0.039211237108021366
ackley,2,2,fd,3,-1,25,0.042161554816948006
ackley,2,2,fd,3,-1,26,0.044152415557947966
ackley,2,2,fd,3,-1,27,0.04688682362349566
ackley,2,2,fd,3,-1,28,0.03232148906790804
ackley,2,2,fd,3,-1,29,0.037935292739245785
ackley,2,2,fd,3,-1,30,0.0348261481459562
ackley,2,2,fd,3,-1,31,0.034175492769236135
ackley,2,2,fd,3,-1,32,0.0352456614113042
ackley,2,2,fd,3,-1,33,0.034357186326829256
ackley,2,2,fd,3,-1,34,0.028503383220753933
ackley,2,2,fd,3,-1,35,0.028929257047733255
ackley,2,2,fd,3,-1,36,0.026949305934694794
ackley,2,2,fd,3,-1,37,0.026799337048658972
ackley,2,2,fd,3,-1,38,0.025999361778187197
ackley,2,2,fd,3,-1,39,0.024484850923352806
ackley,2,2,fd,3,-1,40,0.02388121809357481
ackley,2,2,fd,3,-1,41,0.023361783689854733
