function,x_dim,c_dim,method,repeat,client,t,regret
ackley,1,2,fd,4,-1,41,0.03645073608022992
ackley,1,2,fd,4,-1,42,0.030269039583697463
ackley,1,2,fd,4,-1,43,0.023372752931480615
ackley,1,2,fd,4,-1,44,0.0253367470465439
ackley,1,2,fd,4,-1,45,0.031577876002012825
ackley,1,2,fd,4,-1,46,0.01902568286313246
ackley,1,2,fd,4,-1,47,0.020111155798849912
ackley,1,2,fd,4,-1,48,0.038230975311822124
ackley,1,2,fd,4,-1,49,0.02098453639814363
ackley,1,2,fd,4,-1,50,0.02471565131312186
ackley,1,2,fd,4,-1,51,0.02427929176403007
ackley,1,2,fd,4,-1,52,0.02340209133857971
ackley,1,2,fd,4,-1,53,0.025177979196987457
ackley,1,2,fd,4,-1,54,0.025277073611184465
ackley,1,2,fd,4,-1,55,0.026491581978596173
ackley,1,2,fd,4,-1,56,0.02618243328716758
ackley,1,2,fd,4,-1,57,0.019171171975793336
ackley,1,2,fd,4,-1,58,0.021581444638579327
ackley,1,2,fd,4,-1,59,0.020507621510284898
ackley,1,2,fd,5,-1,0,0.12812604942608
ackley,1,2,fd,5,-1,1,0.10443903968907577
ackley,1,2,fd,5,-1,2,0.10895914834519262
ackley,1,2,fd,5,-1,3,0.10702168688468731
ackley,1,2,fd,5,-1,4,0.09008983890081088
ackley,1,2,fd,5,-1,5,0.0923255969050376
ackley,1,2,fd,5,-1,6,0.1098333593616704
ackley,1,2,fd,5,-1,7,0.10138752686913989
ackley,1,2,fd,5,-1,8,0.09043433429674447
ackley,1,2,fd,5,-1,9,0.10777493405560143
ackley,1,2,fd,5,-1,10,0.11922699051533525
ackley,1,2,fd,5,-1,11,0.09474581196075868
ackley,1,2,fd,5,-1,12,0.08764113254400979
ackley,1,2,fd,5,-1,13,0.08378678548055465
ackley,1,2,fd,5,-1,14,0.0801605684133002
ackley,1,2,fd,5,-1,15,0.07833518527716163
ackley,1,2,fd,5,-1,16,0.07579262769175557
ackley,1,2,fd,5,-1,17,0.07079643489462378
ackley,1,2,fd,5,-1,18,0.08437621405694455
ackley,1,2,fd,5,-1,19,0.0864160663790111
ackley,1,2,fd,5,-1,20,0.08840866029012322
ackley,1,2,fd,5,-1,21,0.08880168452337152
ackley,1,2,fd,5,-1,22,0.0739979502337922
ackley,1,2,fd,5,-1,23,0.07217795734652085
ackley,1,2,fd,5,-1,24,0.05199227658114541
ackley,1,2,fd,5,-1,25,0.05549278912580515
ackley,1,2,fd,5,-1,26,0.05605088822604852
ackley,1,2,fd,5,-1,27,0.05783107044208207
ackley,1,2,fd,5,-1,28,0.0680585922529786
ackley,1,2,fd,5,-1,29,0.06808883278443263
ackley,1,2,fd,5,-1,30,0.06802759550944538
ackley,1,2,fd,5,-1,31,0.07378775258167035
ackley,1,2,fd,5,-1,32,0.06839220855831313
ackley,1,2,fd,5,-1,33,0.07168871782984791
ackley,1,2,fd,5,-1,34,0.06508739502472644
ackley,1,2,fd,5,-1,35,0.06857215235074642
ackley,1,2,fd,5,-1,36,0.03998989998772543
ackley,1,2,fd,5,-1,37,0.03925714760014018
ackley,1,2,fd,5,-1,38,0.0368980207883026
ackley,1,2,fd,5,-1,39,0.06713558697542625
ackley,1,2,fd,5,-1,40,0.03625127236326088
ackley,1,2,fd,5,-1,41,0.03841983556043945
ackley,1,2,fd,5,-1,42,0.036860208703609496
ackley,1,2,fd,5,-1,43,0.03517068892810873
ackley,1,2,fd,5,-1,44,0.033384908488430586
ackley,1,2,fd,5,-1,45,0.029050822769578794
ackley,1,2,fd,5,-1,46,0.02913329904865168
ackley,1,2,fd,5,-1,47,0.023082319848357548
ackley,1,2,fd,5,-1,48,0.02447213725273172
ackley,1,2,fd,5,-1,49,0.022978297230059997
ackley,1,2,fd,5,-1,50,0.022608798163287543
ackley,1,2,fd,5,-1,51,0.02251658815902143
ackley,1,2,fd,5,-1,52,0.024837909652923863
ackley,1,2,fd,5,-1,53,0.02426063599235715
ackley,1,2,fd,5,-1,54,0.017015588061456876
ackley,1,2,fd,5,-1,55,0.01860664894240893
ackley,1,2,fd,5,-1,56,0.045971617237432504
ackley,1,2,fd,5,-1,57,0.029742389942351687
ackley,1,2,fd,5,-1,58,0.0318650408363955
ackley,1,2,fd,5,-1,59,0.03340232157415663
ackley,1,2,fd,6,-1,0,0.06634179058210647
ackley,1,2,fd,6,-1,1,0.0602268630473144
ackley,1,2,fd,6,-1,2,0.053988303797983216
ackley,1,2,fd,6,-1,3,0.05556786332225586
ackley,1,2,fd,6,-1,4,0.061380292838365005
ackley,1,2,fd,6,-1,5,0.05320609612156375
ackley,1,2,fd,6,-1,6,0.04867346674451903
ackley,1,2,fd,6,-1,7,0.05150511571859137
ackley,1,2,fd,6,-1,8,0.04578283211920549
ackley,1,2,fd,6,-1,9,0.04373580740568629
ackley,1,2,fd,6,-1,10,0.0432727127784873
ackley,1,2,fd,6,-1,11,0.03780062870047357
ackley,1,2,fd,6,-1,12,0.03936062969972337
